character_tag,copyright_tag,subject_hint,support,character_lines,copyright_lines,score
shoukaku_(kancolle),kantai_collection,1girl,306,310,54576,1068.356678
letty_whiterock,touhou,1girl,306,307,92535,1067.064343
okita_souji_(fate),fate_(series),1girl,305,309,8588,1064.437336
wakasagihime,touhou,1girl,305,305,92535,1062.711451
oguri_cap_(umamusume),umamusume,1girl,304,313,13094,1062.645479
nishikigi_chisato,lycoris_recoil,1girl,296,379,696,1059.277206
naganami_(kancolle),kantai_collection,1girl,304,305,54576,1059.227151
motoori_kosuzu,touhou,1girl,304,304,92535,1058.793569
hiroi_kikuri,bocchi_the_rock!,1girl,303,303,3131,1054.877116
lillie_(pokemon),pokemon_sm,1girl,282,513,604,1046.253097
suzuran_(spring_praise)_(arknights),arknights,1girl,299,300,14928,1039.659255
miki_sayaka,mahou_shoujo_madoka_magica_(anime),1girl,293,352,2381,1039.137
wraith_(apex_legends),apex_legends,1girl,298,300,1170,1036.182134
akigumo_(kancolle),kantai_collection,1girl,298,299,54576,1035.750014
micaiah_(fire_emblem),fire_emblem,1girl,298,298,4052,1035.316447
micaiah_(fire_emblem),fire_emblem:_radiant_dawn,1girl,298,298,497,1035.316447
arona_(blue_archive),,1girl,265,802,265,1034.606208
lize_helesta,nijisanji,1girl,296,304,7324,1030.930581
hyakumantenbara_salome,nijisanji,1girl,296,297,7324,1027.935909
kozakura_marry,kagerou_project,1girl,296,297,983,1027.935909
sakura_miko,hololive,1girl,295,299,17510,1025.323001
kashima_(kancolle),kantai_collection,1girl,295,295,54576,1023.597495
hifumi_(blue_archive),blue_archive,1girl,292,317,14955,1022.309305
izumi_konata,lucky_star,1girl,294,296,871,1020.559763
kureiji_ollie,hololive,1girl,293,294,17510,1016.225768
kureiji_ollie,hololive_indonesia,1girl,293,294,712,1016.225768
murasa_minamitsu,touhou,1girl,293,294,92535,1016.225768
hatsuyuki_(kancolle),kantai_collection,1girl,292,295,54576,1013.188029
kuroki_tomoko,watashi_ga_motenai_no_wa_dou_kangaetemo_omaera_ga_warui!,1girl,292,294,483,1012.75742
skadi_(arknights),arknights,1girl,275,481,14928,1012.589896
seiun_sky_(umamusume),umamusume,1girl,292,293,13094,1012.325345
toutetsu_yuuma,touhou,1girl,292,292,92535,1011.891793
tashkent_(kancolle),kantai_collection,1girl,291,292,54576,1008.42641
futaba_anzu,idolmaster,1girl,290,296,13720,1006.674596
futaba_anzu,idolmaster_cinderella_girls,1girl,290,296,7464,1006.674596
fate_testarossa,lyrical_nanoha,1girl,290,292,894,1004.961027
etorofu_(kancolle),kantai_collection,1girl,290,290,54576,1004.095419
au_ra,final_fantasy,1girl,289,290,3040,1000.633021
au_ra,final_fantasy_xiv,1girl,289,290,2075,1000.633021
megumin,kono_subarashii_sekai_ni_shukufuku_wo!,1girl,286,315,391,1000.516818
m200_(girls'_frontline),girls'_frontline,1girl,289,289,2907,1000.199477
yorigami_shion,touhou,1girl,289,289,92535,1000.199477
raiden_shogun,genshin_impact,1girl,274,435,10725,996.946056
jumpy_dumpty,genshin_impact,1girl,287,297,10725,996.681101
raising_heart,lyrical_nanoha,1girl,288,288,894,996.305036
clothed_pokemon,pokemon,1girl,286,300,8618,994.456679
tokoyami_towa_(jirai_kei),hololive,1girl,287,287,17510,992.412104
e.g.o_(project_moon),project_moon,1girl,285,285,1660,984.630785
ibaraki_kasen,touhou,1girl,285,285,92535,984.630785
ryuuguu_rena,higurashi_no_naku_koro_ni,1girl,285,285,1037,984.630785
qiqi_(genshin_impact),genshin_impact,1girl,278,347,10725,984.211594
okita_souji_(koha-ace),fate_(series),1girl,284,288,8588,982.467467
yuubari_(kancolle),kantai_collection,1girl,284,285,54576,981.17594
makabe_mizuki,idolmaster,1girl,282,282,13720,972.970249
makabe_mizuki,idolmaster_million_live!,1girl,282,282,1778,972.970249
takamachi_nanoha,mahou_shoujo_lyrical_nanoha,1girl,272,374,605,971.821076
elira_pendora,nijisanji,1girl,281,281,7324,969.086476
elira_pendora,nijisanji_en,1girl,281,281,2113,969.086476
yayoi_(kancolle),kantai_collection,1girl,280,282,54576,966.06975
yura_(kancolle),kantai_collection,1girl,280,281,54576,965.63777
aki_minoriko,touhou,1girl,279,280,92535,961.757091
gold_ship_(umamusume),umamusume,1girl,278,279,13094,957.877969
himekaidou_hatate,touhou,1girl,278,279,92535,957.877969
akiyama_mio,k-on!,1girl,278,278,1690,957.444453
toki_(blue_archive),blue_archive,1girl,278,278,14955,957.444453
mutsuki_(blue_archive),blue_archive,1girl,276,289,14955,955.207805
kagerou_(kancolle),kantai_collection,1girl,277,279,54576,954.432364
aris_(maid)_(blue_archive),blue_archive,1girl,277,277,14955,953.566896
morikubo_nono,idolmaster,1girl,277,277,13720,953.566896
morikubo_nono,idolmaster_cinderella_girls,1girl,277,277,7464,953.566896
ange_katrina,nijisanji,1girl,275,276,7324,946.249998
matara_okina,touhou,1girl,274,274,92535,941.943654
madotsuki,yume_nikki,1girl,273,274,301,938.505904
kaku_seiga,touhou,1girl,272,272,92535,934.202742
angelina_(arknights),arknights,1girl,271,276,14928,932.486361
ame-chan_(needy_girl_overdose),needy_girl_overdose,1girl,271,271,928,930.334678
makigumo_(kancolle),kantai_collection,1girl,270,271,54576,926.901709
medicine_melancholy,touhou,1girl,270,271,92535,926.901709
march_7th_(honkai:_star_rail),honkai:_star_rail,1girl,270,270,1201,926.468216
march_7th_(honkai:_star_rail),honkai_(series),1girl,270,270,2559,926.468216
sendai_kai_ni_(kancolle),kantai_collection,1girl,270,270,54576,926.468216
saga_(arknights),arknights,1girl,269,269,14928,922.603363
marnie_(pokemon),pokemon,1girl,258,371,8618,920.898469
